dataNames[j] E_0
0.001 -0.499970050999289
0.00499 -0.499970481092799
0.00898 -0.499971885579709
0.01297 -0.499974941505646
0.01696 -0.499979670764053
0.02095 -0.499987922935075
0.02494 -0.500000044210519
0.02893 -0.500016745736077
0.03292 -0.500038715633315
0.03691 -0.500066641287628
0.0409 -0.500101286121599
0.04489 -0.500143210803241
0.04888 -0.50019308607833
0.05287 -0.50025157412147
0.05686 -0.50031933392204
0.06085 -0.500397019466687
0.06484 -0.500485281970811
0.06883 -0.500584770389252
0.07282 -0.500696132777948
0.07681 -0.500820015986037
0.0808 -0.500957067225219
0.08479 -0.501107934818788
0.08878 -0.501273268612378
0.09277 -0.501453673279883
0.09676 -0.501649906972828
0.10075 -0.501862471446485
0.10474 -0.502092139770141
0.10873 -0.502339592359123
0.11272 -0.502604683130728
0.11671 -0.502889355125127
0.1207 -0.503193829340511
0.12469 -0.503518812558194
0.12868 -0.503865009335912
0.13267 -0.504233133801181
0.13666 -0.504623929213875
0.14065 -0.505038211355005
0.14464 -0.505476647178909
0.14863 -0.505939985481837
0.15262 -0.506429009481781
0.15661 -0.506944518707128
0.1606 -0.507487329056978
0.16459 -0.50805827447682
0.16858 -0.508658207694745
0.17257 -0.509288002044129
0.17656 -0.509948552264631
0.18055 -0.510640774773997
0.18454 -0.51136561029712
0.18853 -0.512124024389849
0.19252 -0.51291700891946
0.19651 -0.513745583131875
0.2005 -0.514610795629744
0.20449 -0.515513725065493
0.20848 -0.516455482970158
0.21247 -0.517437248851757
0.21646 -0.518460051878348
0.22045 -0.519525226318039
0.22444 -0.520634028157885
0.22843 -0.521787747790901
0.23242 -0.522986940466451
0.23641 -0.524234221966629
0.2404 -0.525530537629096
0.24439 -0.526877343714669
0.24838 -0.528276188093231
0.25237 -0.529728642674913
0.25636 -0.531236332776576
0.26035 -0.532800940688761
0.26434 -0.534424300120013
0.26833 -0.536108125426842
0.27232 -0.537854277150709
0.27631 -0.539664693253602
0.2803 -0.541541382000849
0.28429 -0.543486424835512
0.28828 -0.545502399308826
0.29227 -0.547590690425188
0.29626 -0.549754053235599
0.30025 -0.551994895406697
0.30424 -0.554315716732801
0.30823 -0.556719110679075
0.31222 -0.559207769669626
0.31621 -0.561784489900999
0.3202 -0.564452287968749
0.32419 -0.56721390561408
0.32818 -0.570072648300692
0.33217 -0.573031693505604
0.33616 -0.576094502191771
0.34015 -0.579263649839544
0.34414 -0.582544134612053
0.34813 -0.585939324558115
0.35212 -0.589453147175389
0.35611 -0.593090043937551
0.3601 -0.596853554841813
0.36409 -0.600748482148738
0.36808 -0.604779639722925
0.37207 -0.608951613727673
0.37606 -0.613269396280672
0.38005 -0.617738183614966
0.38404 -0.622363385359846
0.38803 -0.62715062494106
0.39202 -0.632106036992425
0.39601 -0.63723510854981
