dataNames[j] E_0
-1 -0.500033493783761
-1.05 -0.500033533537902
-1.1 -0.500033527133277
-1.15 -0.500033527405224
-1.2 -0.500033519857356
-1.25 -0.500033518072226
-1.3 -0.500033524280945
-1.35 -0.500033511927575
-1.4 -0.500033551336872
-1.45 -0.500033531343832
-1.5 -0.500033515981271
-1.55 -0.500015382878504
-1.6 -0.499988126036633
-1.65 -0.499965198567397
-1.7 -0.49994644634051
-1.75 -0.499973970490795
-1.8 -0.499953751868794
-1.85 -0.499956195751735
-1.9 -0.499964064569168
-1.95 -0.499971261778364
-2 -0.499977286271765
-2.05 -0.499989825745269
-2.1 -0.499989199741386
-2.15 -0.49999698207612
-2.2 -0.500013294906872
-2.25 -0.500029125184168
-2.3 -0.500044922487171
-2.35 -0.500060551073117
-2.4 -0.500072065932998
-2.45 -0.500083195287914
-2.5 -0.500090724685356
-2.55 -0.500098834549014
-2.6 -0.500106909418547
-2.65 -0.500114718074705
-2.7 -0.500122278624944
-2.75 -0.50012976166903
-2.8 -0.500138120774584
-2.85 -0.500147885559881
-2.9 -0.500156911911182
-2.95 -0.500165396667528
-3 -0.500168399813117
-3.05 -0.500171757425674
-3.1 -0.500174950460352
-3.15 -0.500178175573291
-3.2 -0.50018104272676
-3.25 -0.500183876494816
-3.3 -0.500186600477359
-3.35 -0.500189538656533
-3.4 -0.500192970092991
-3.45 -0.500196433556253
-3.5 -0.500198449741066
-3.55 -0.500199118121366
-3.6 -0.500200120537481
-3.65 -0.50020135390303
-3.7 -0.500202544327056
-3.75 -0.500203927497316
-3.8 -0.500205822816299
-3.85 -0.500207356526072
-3.9 -0.500207664880228
-3.95 -0.5002080699155
-4 -0.500208605555053
-4.05 -0.500209157485266
-4.1 -0.500208957168174
-4.15 -0.500208749142999
-4.2 -0.500208566024113
-4.25 -0.500208405798373
-4.3 -0.500208265221465
-4.35 -0.500208102535869
-4.4 -0.500207998872026
-4.45 -0.500207917289682
-4.5 -0.500207853189145
-4.55 -0.500207795072178
-4.6 -0.50020774584282
-4.65 -0.500207845564317
-4.7 -0.500207930061905
-4.75 -0.500208077515199
-4.8 -0.500208218887052
-4.85 -0.500208598053156
-4.9 -0.500209101640122
-4.95 -0.500209468680207
-5 -0.500209628623615
-5.05 -0.50020992774977
-5.1 -0.500210189450392
-5.15 -0.500210242067831
-5.2 -0.500210729157479
-5.25 -0.50021155911478
-5.3 -0.500212077104772
-5.35 -0.500212249526776
-5.4 -0.500212249526776
-5.45 -0.500212249526776
-5.5 -0.500212249526776
-5.55 -0.500212249526776
-5.6 -0.500212249526776
-5.65 -0.500212249526776
-5.7 -0.500212249526776
-5.75 -0.500212249526776
-5.8 -0.500212249526776
-5.85 -0.500212249526776
-5.9 -0.500212249526776
-5.95 -0.500212249526776
