dataNames[j] E_0
-1 -0.499732361585807
-1.08 -0.499723353073648
-1.16 -0.499716334691942
-1.24 -0.499720404708383
-1.32 -0.499770283940552
-1.4 -0.499812200189499
-1.48 -0.499847741062232
-1.56 -0.499874638504759
-1.64 -0.499896717869377
-1.72 -0.499914739178449
-1.8 -0.499958133242949
-1.88 -0.500001750353479
-1.96 -0.500036340037285
-2.04 -0.500063237604181
-2.12 -0.500083073982289
-2.2 -0.500094994524415
-2.28 -0.500101401344429
-2.36 -0.500107537497156
-2.44 -0.500113756371787
-2.52 -0.500133287529545
-2.6 -0.500145400941219
-2.68 -0.500158233544979
-2.76 -0.500158233607274
-2.84 -0.500162121191863
-2.92 -0.500166209518692
-3 -0.500169309345872
-3.08 -0.500172929576325
-3.16 -0.500176903531238
-3.24 -0.500179665288129
-3.32 -0.500184146403104
-3.4 -0.500189369380672
-3.48 -0.500193027920345
-3.56 -0.50019669005341
-3.64 -0.500199894473847
-3.72 -0.500202876816594
-3.8 -0.500205784075452
-3.88 -0.500207413481606
-3.96 -0.500208605555053
-4.04 -0.500208605555053
-4.12 -0.500208605555053
-4.2 -0.500208605555053
-4.28 -0.500208605555053
-4.36 -0.500208605555053
-4.44 -0.500208605555053
-4.52 -0.500208605555053
-4.6 -0.500208605555053
-4.68 -0.500208605555053
-4.76 -0.500208605555053
-4.84 -0.500208605555053
-4.92 -0.500208605555053
-5 -0.500208605555053
-5.08 -0.500208605555053
-5.16 -0.500208605555053
-5.24 -0.500208605555053
-5.32 -0.500208605555053
-5.4 -0.500208605555053
-5.48 -0.500208605555053
-5.56 -0.500208605555053
-5.64 -0.500208605555053
-5.72 -0.500208605555053
-5.8 -0.500208605555053
-5.88 -0.500208605555053
-5.96 -0.500208605555053
-6.04 -0.500208605555053
-6.12 -0.500208605555053
-6.2 -0.500208605555053
-6.28 -0.500208605555053
-6.36 -0.500208605555053
-6.44 -0.500208605555053
-6.52 -0.500208605555053
-6.6 -0.500208605555053
-6.68 -0.500208605555053
-6.76 -0.500208605555053
-6.84 -0.500208605555053
-6.92 -0.500208605555053
-7 -0.500208605555053
-7.08 -0.500208605555053
-7.16 -0.500208605555053
-7.24 -0.500208605555053
-7.32 -0.500208605555053
-7.4 -0.500208605555053
-7.48 -0.500208605555053
-7.56 -0.500208605555053
-7.64 -0.500208605555053
-7.72 -0.500208605555053
-7.8 -0.500208605555053
-7.88 -0.500208605555053
-7.96 -0.500208605555053
-8.04 -0.500208605555053
-8.12 -0.500208605555053
-8.2 -0.500208605555053
-8.28 -0.500208605555053
-8.36 -0.500208605555053
-8.44 -0.500208605555053
-8.52 -0.500208605555053
-8.6 -0.500208605555053
-8.68 -0.500208605555053
-8.76 -0.500208605555053
-8.84 -0.500208605555053
-8.92 -0.500208605555053
