dataNames[j] E_0
1 2.3752972741378
1.07 1.90840649820917
1.14 1.53368400611488
1.21 1.22937105326138
1.28 0.979685189730163
1.35 0.77294689584119
1.42 0.600378680774189
1.49 0.45528859357857
1.56 0.332508295623937
1.63 0.227846381947306
1.7 0.138441461277108
1.77 0.061572589295856
1.84 -0.00480784601388538
1.91 -0.0623600611155792
1.98 -0.112436495141381
2.05 -0.156152226981185
2.12 -0.194430575909221
2.19 -0.228040635934047
2.26 -0.257626592419635
2.33 -0.283730793288672
2.4 -0.306812051694486
2.47 -0.327260261025111
2.54 -0.345408141822911
2.61 -0.361540741633898
2.68 -0.375903959577062
2.75 -0.388745083466103
2.82 -0.400172455219186
2.89 -0.410384793991044
2.96 -0.419520742824418
3.03 -0.427701425063241
3.1 -0.435032936733021
3.17 -0.441608440813292
3.24 -0.447509934218715
3.31 -0.452809744430691
3.38 -0.457571801753193
3.45 -0.46185272480892
3.52 -0.465702749784747
3.59 -0.469166163488541
3.66 -0.472297559198548
3.73 -0.475100791611177
3.8 -0.477624444127768
3.87 -0.479896736932146
3.94 -0.481942925386637
4.01 -0.483785639872282
4.08 -0.485445181209774
4.15 -0.48693978086866
4.22 -0.48828582769074
4.29 -0.489498069086994
4.36 -0.490589787781468
4.43 -0.491572957423633
4.5 -0.492466100254829
4.57 -0.493260952155735
4.64 -0.49397586554277
4.71 -0.494619031227989
4.78 -0.495197515995925
4.85 -0.495717698342808
4.92 -0.49618533738815
4.99 -0.496605634776958
5.06 -0.496983290279179
5.13 -0.497322551720056
5.2 -0.497627259793237
5.27 -0.497905066207991
5.34 -0.498150262943065
5.41 -0.498370419225139
5.48 -0.498567051013802
5.55 -0.498743522912743
5.62 -0.498901745970575
5.69 -0.499043504600004
5.76 -0.499170471105436
5.83 -0.499284153159647
5.9 -0.499388332425193
5.97 -0.49947902850428
6.04 -0.499560167876981
6.11 -0.499632742544906
6.18 -0.499697647036226
6.25 -0.49975761671949
6.32 -0.499809086673671
6.39 -0.499854904115455
6.46 -0.499897465151617
6.53 -0.499933393373842
6.6 -0.499966565743978
6.67 -0.499995390706057
6.74 -0.500017655171264
6.81 -0.500042280281467
6.88 -0.500062543219896
6.95 -0.500081898714209
7.02 -0.500098245857769
7.09 -0.500112809249041
7.16 -0.500126779878989
7.23 -0.500138430190149
7.3 -0.500148811937597
7.37 -0.500157998928751
7.44 -0.500166170437695
7.51 -0.500173437380204
7.58 -0.500180605096832
7.65 -0.500186371276721
7.72 -0.500191496238286
7.79 -0.50019605059311
7.86 -0.500200097376366
7.93 -0.500203692862694
