Points "B_1 spline" "B_1 Derivative" "B_2 spline"
0.005 0.00264606070839772 0.530487833114736 0.00484734338398832
0.01 0.00530490158514233 0.533050844017974 0.00969197638736288
0.015 0.00797659242232705 0.535627819106548 0.0145338598900429
0.02 0.0106612030664908 0.538218768298669 0.0193729544524486
0.025 0.0133588034088174 0.540823699524842 0.0242092203133882
0.03 0.0160694633750574 0.543442618671881 0.0290426173879388
0.035 0.0187932529151676 0.546075529525802 0.0338731052653216
0.04 0.0215302419926618 0.548722433713627 0.0387006432067709
0.045 0.0242805005736681 0.551383330644043 0.043525190143397
0.05 0.0270440986156864 0.554058217446939 0.0483467046740443
0.055 0.0298211060560409 0.55674708891178 0.0531651450631429
0.06 0.0326115928000216 0.55944993742482 0.0579804692385567
0.065 0.0354156287087086 0.56216675290513 0.0627926347894241
0.07 0.0382332835864739 0.56489752273943 0.0676015989639961
0.075 0.0410646271681543 0.567642231715721 0.0724073186674683
0.08 0.0439097291058891 0.570400861955683 0.0772097504598086
0.085 0.0467686589556173 0.573173392845853 0.0820088505535814
0.09 0.0496414861632267 0.575959800967538 0.0868045748117667
0.095 0.0525282800503503 0.57876006002548 0.091596878745576
0.1 0.0554291097998025 0.581574140775245 0.0963857175122644
0.105 0.0583440444406487 0.584402010949319 0.101171045912939
0.11 0.0612731528329029 0.587243635181914 0.105952818390364
0.115 0.0642165036518451 0.590098974932461 0.110730989026766
0.12 0.0671741653719539 0.592967988407783 0.115505511541627
0.125 0.0701462062504456 0.595850630482927 0.12027633928949
0.13 0.0731326943104149 0.598746852620672 0.125043425257748
0.135 0.0761336973235697 0.601656602789658 0.12980672206444
0.14 0.0791492827925525 0.604579825381175 0.134566181956041
0.145 0.0821795179328428 0.607516461124562 0.139321756805252
0.15 0.0852244696542334 0.610466447001232 0.14407339810879
0.155 0.0882842045418721 0.613429716157303 0.148821056985173
0.16 0.0913587888368651 0.616406197814836 0.153564684172511
0.165 0.0944482884164308 0.619395817181656 0.15830423002629
0.17 0.0975527687736005 0.622398495359771 0.163039644517162
0.175 0.100672294996458 0.625414149252366 0.167770877228728
0.18 0.103806931746909 0.628442691469375 0.172497877355328
0.185 0.106956743238976 0.631484030231619 0.177220593699833
0.19 0.110121793216612 0.634538069273516 0.181938974671431
0.195 0.11330214493102 0.637604707744354 0.186652968283417
0.2 0.116497861117477 0.640683840108116 0.191362522150996
0.205 0.119709003971656 0.643775356041878 0.196067583489066
0.21 0.122935635125435 0.646879140332753 0.200768099110029
0.215 0.126177815622183 0.649995072773401 0.205464015421584
0.22 0.129435605891528 0.653123028056098 0.210155278424538
0.225 0.132709065723584 0.656262875665359 0.21484183371061
0.23 0.135998254242641 0.659414479769144 0.219523626460249
0.235 0.139303229880309 0.662577699108612 0.224200601440448
0.24 0.142624050348105 0.665752386886469 0.228872703002568
0.245 0.145960772609477 0.66893839065389 0.233539875080168
0.25 0.149313452851262 0.672135552196033 0.238202061186837
0.255 0.152682146454567 0.675343707416148 0.242859204414033
0.26 0.156066907965067 0.678562686218313 0.247511247428934
0.265 0.15946779106271 0.68179231238877 0.252158132472288
0.27 0.162884848530835 0.685032403475919 0.256799801356278
0.275 0.166318132224673 0.688282770668959 0.261436195462389
0.28 0.169767693039247 0.691543218675187 0.266067255739289
0.285 0.173233580876656 0.694813545595999 0.270692922700715
0.29 0.176715844612729 0.698093542801599 0.275313136423369
0.295 0.180214532063056 0.70138299480443 0.279927836544827
0.3 0.183729689948376 0.70468167913137 0.284536962261456
0.305 0.187261363859332 0.7079893661947 0.289140452326341
0.31 0.190809598220572 0.71130581916189 0.293738245047226
0.315 0.194374436254194 0.714630793824224 0.29833027828447
0.32 0.197955919942535 0.717964038464282 0.302916489449003
0.325 0.201554089990299 0.721305293722356 0.307496815500316
0.33 0.205168985786001 0.724654292461779 0.312071192944441
0.335 0.20880064536275 0.72801075963326 0.316639557831968
0.34 0.212449105358344 0.73137441213823 0.32120184575606
0.345 0.216114400974675 0.734744958691257 0.32575799185049
0.35 0.219796565936456 0.738122099681585 0.330307930787699
0.355 0.223495632449239 0.741505527033826 0.334851596776862
0.36 0.227211631156749 0.744894924067875 0.339388923561974
0.365 0.230944591097505 0.748289965358095 0.343919844419962
0.37 0.234694539660738 0.751690316591828 0.348444292158803
0.375 0.238461502541602 0.755095634427307 0.352962199115669
0.38 0.242245503695676 0.758505566351006 0.357473497155095
0.385 0.246046565292738 0.761919750534523 0.361978117667157
0.39 0.249864707669843 0.765337815691055 0.366475991565683
0.395 0.253699949283663 0.768759380931532 0.37096704928648
0.4 0.257552306662121 0.772184055620494 0.375451220785584
0.405 0.261421794355296 0.775611439231801 0.379928435537535
0.41 0.265308424885607 0.779041121204236 0.384398622533676
0.415 0.269212208697279 0.782472680797115 0.388861710280479
0.42 0.273133154105086 0.785905686945976 0.393317626797892
0.425 0.277071267242368 0.789339698118455 0.39776629961772
0.43 0.281026552008334 0.792774262170441 0.402207655782023
0.435 0.284999010014645 0.796208916202617 0.406641621841554
0.44 0.288988640531278 0.799643186417491 0.411068123854218
0.445 0.292995440431682 0.803076587977037 0.415487087383565
0.45 0.297019404137218 0.806508624861042 0.419898437497308
0.455 0.301060523560898 0.809938789726313 0.424302098765881
0.46 0.305118788050418 0.813366563766826 0.428697995261025
0.465 0.309194184330498 0.816791416574988 0.433086050554405
0.47 0.313286696444529 0.820212806004108 0.437466187716261
0.475 0.317396305695538 0.823630178032248 0.441838329314107
0.48 0.321522990586472 0.827042966627569 0.446202397411443
0.485 0.325666726759816 0.830450593615342 0.450558313566525
