Points "B_1 spline" "B_1 Derivative" "B_2 spline"
0.006 0.0029790871710593 0.503026045292362 0.0058472639476044
0.012 0.0060370598049528 0.516361105891398 0.0117000050872737
0.018 0.00917618361244838 0.53007774400946 0.0175581082576552
0.024 0.0123987713424395 0.544183677090631 0.023421452910474
0.03 0.0157071812011724 0.558686330174046 0.029289912950403
0.036 0.0191038149123908 0.57359277307051 0.0351633565724603
0.042 0.0225911153818564 0.588909651241288 0.0410416460970811
0.048 0.0261715639271968 0.604643109958298 0.0469246378030336
0.054 0.0298476770314996 0.620798711321481 0.0528121817583711
0.06 0.0336220025765233 0.637381343710691 0.0587041216496313
0.066 0.0374971155088833 0.654395123257088 0.0646002946095247
0.072 0.0414756128901188 0.671843286934018 0.0705005310433739
0.078 0.0455601082792163 0.689728076891042 0.0764046544545995
0.084 0.0497532253939993 0.708050615688668 0.0823124812695734
0.09 0.0540575909958738 0.726810772137161 0.0882238206621944
0.096 0.058475826940809 0.746007017502271 0.0941384743785734
0.102 0.063010541338226 0.765636271916001 0.100056236562251
0.108 0.067664318758769 0.785693740923449 0.105976893580408
0.114 0.0724397094318428 0.806172742209816 0.111900223851559
0.12 0.0773392173744642 0.827064522686904 0.117825997675286
0.126 0.0823652873945154 0.848358066278285 0.12375397706457
0.132 0.0875202909140663 0.870039892929043 0.129683915581364
0.138 0.0928065105622263 0.892093849581685 0.135615558176072
0.144 0.0982261234921519 0.914500894106595 0.141548641031651
0.15 0.103781183383598 0.937238873454732 0.147482891413106
0.156 0.109473601100915 0.960282297613494 0.153418027523206
0.162 0.115305123986928 0.983602111294272 0.159353758365271
0.168 0.121277313785803 1.00716546566205 0.165289783613983
0.174 0.127391523203127 1.03093549283212 0.171225793495168
0.18 0.133648871129074 1.05487108630412 0.177161468675618
0.186 0.140050216570979 1.07892669097554 0.183096480164008
0.192 0.14659613136493 1.10305210686881 0.189030489224079
0.198 0.153286871762349 1.12719231121202 0.19496314730128
0.204 0.160122349016851 1.15128730402118 0.200894095964111
0.21 0.167102099129102 1.17527198283103 0.206822966861506
0.216 0.174225251942696 1.19907605269511 0.212749381697587
0.222 0.181490499822122 1.22262397800687 0.218672952225227
0.228 0.188896066184338 1.24583498306057 0.224593280259864
0.234 0.196439674197869 1.26862310855058 0.230509957715081
0.24 0.204118516007116 1.29089733137327 0.236422566661497
0.246 0.211929222883862 1.31256175511971 0.24233067941055
0.252 0.219867836751986 1.3335158784994 0.248233858624767
0.258 0.227929783573853 1.35365494858556 0.254131657456188
0.264 0.236109849126606 1.37287040519084 0.260023619714556
0.27 0.244402157732019 1.39105042184193 0.265909280066961
0.276 0.252800154533194 1.40808054769789 0.271788164270572
0.282 0.261296591933297 1.42384445333221 0.277659789440111
0.288 0.269883520824027 1.43822478156281 0.283523664351677
0.294 0.278552287232604 1.45110410246556 0.289379289784505
0.3 0.287293535003994 1.46236596935904 0.295226158902188
0.306 0.29609721510806 1.47189606992563 0.301063757674812
0.312 0.304952602117873 1.47958346377895 0.306891565343387
0.318 0.313848318344237 1.48532189475884 0.312709054927848
0.324 0.322772366031856 1.48901116310892 0.318515693779774
0.33 0.331712167924032 1.49055853956223 0.324310944180833
0.336 0.340654616385838 1.48988020033387 0.330094263987818
0.342 0.349586131141114 1.48690265922178 0.335865107324912
0.348 0.358492725528329 1.48156417057521 0.341622925323667
0.354 0.367360081016776 1.47381607493932 0.347367166910911
0.36 0.376173629551085 1.46362405785729 0.353097279644552
0.366 0.384918643112779 1.45096929172773 0.358812710596986
0.372 0.393580329707336 1.43584943087958 0.364512907285488
0.378 0.402143934809292 1.41827943121739 0.370197318648658
0.384 0.410594847132009 1.39829216795334 0.375865396067634
0.39 0.41891870743881 1.37593882808348 0.381516594430408
0.396 0.427101518983895 1.35128905835023 0.387150373237203
0.402 0.435129758070345 1.32443085437672 0.392766197744425
0.408 0.442990483143338 1.29547018233452 0.398363540144311
0.414 0.450671440803335 1.264530330744 0.403941880776912
0.42 0.45816116712928 1.23175099660032 0.409500709370606
0.426 0.465449082747128 1.19728711673292 0.415039526306878
0.432 0.472525580164369 1.1613074618947 0.4205578439046
0.438 0.479382102015073 1.12399301728241 0.426055187718612
0.444 0.486011209019287 1.08553517877101 0.431531097846897
0.45 0.492406636650987 1.04613379887966 0.436985130240198
0.456 0.498563339724592 1.0059951201912 0.442416858007498
0.462 0.504477524344553 0.965329636480766 0.447825872710314
0.468 0.510146666908553 0.924349923085609 0.453211785638402
0.474 0.515569520104663 0.883268478038671 0.458574229059097
0.48 0.520746106088735 0.842295614220072 0.463912857432152
0.486 0.525677697263066 0.801637440337492 0.469227348581727
0.492 0.530366785294266 0.761493965059321 0.474517404816891
0.498 0.534817039201487 0.722057354265207 0.479782753991882
0.504 0.539033253511197 0.683510366347278 0.485023150497265
0.51 0.543021287607939 0.646024985009721 0.490238376173078
0.516 0.546787997510155 0.609761263296825 0.495428241135149
0.522 0.550341161365268 0.574866386846693 0.500592584505879
0.528 0.553689399989419 0.541473958819282 0.505731275041011
0.534 0.556842093776173 0.509703503758266 0.510844211644231
0.54 0.55980929726771 0.479660182961229 0.515931323761844
0.546 0.562601652624925 0.451434709861369 0.520992571650261
0.552 0.565230303153397 0.425103450540261 0.526027946509634
0.558 0.567706807944518 0.400728691834651 0.531037470477656
0.564 0.570043058579771 0.378359057576182 0.536021196478307
0.57 0.572251198725342 0.358030052289395 0.540979207921189
0.576 0.574343547318288 0.339764711123687 0.545911618248016
0.582 0.576332525917948 0.323574334843792 0.550818570323841
