time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
638.983887333164 0.00294847435549512 7.94406387510427E-08 1.14297656830139E-05 5.87025854194951E-10 149576999017.175 19028938.996565 -3.80992189433797 29779.9998043247
880.737481504162 0.00571166112410485 2.21356240359036E-07 1.57541108901663E-05 1.13716191580656E-09 149576998096.113 26228360.5517068 -5.2513702967221 29779.999620946
1178.13560014017 0.0103969037825087 5.59546034413031E-07 2.10737923662359E-05 2.0699692695478E-09 149576996534.365 35084875.8805661 -7.02459745541196 29779.9993100102
1534.63420499378 0.01790968090928 1.29748714682022E-06 2.74506282512151E-05 3.5657239692609E-09 149576994030.106 45701403.4501347 -9.1502094170717 29779.9988114253
1952.40444592992 0.029377735799555 2.78714041919089E-06 3.49234546909954E-05 5.84895380852698E-09 149576990207.421 58142599.9821898 -11.6411515636651 29779.9980503487
2432.36683692876 0.0461396796092682 5.59441810553662E-06 4.35087371423688E-05 9.1861692626699E-09 149576984620.107 72435878.1927794 -14.5029123807896 29779.9969379436
2974.29684877782 0.0697183686296482 1.05726786242071E-05 5.32024591365449E-05 1.38805630384793E-08 149576976760.544 88574551.3179035 -17.734153045515 29779.9953731456
3576.97742961686 0.101782455680281 1.8938223916678E-05 6.39828504608324E-05 2.02643551518147E-08 149576966072.515 106522375.149905 -21.3276168202775 29779.9932452149
4238.37591190598 0.144100613328518 3.23410368544873E-05 7.58135515521824E-05 2.86896790036761E-08 149576951966.462 126218816.303084 -25.2711838507275 29779.9904367737
4955.82682074356 0.198493111528286 5.29244718949268E-05 8.86468834537439E-05 3.95189407351495E-08 149576933835.629 147584496.225181 -29.548961151248 29779.9868270198
5726.20693217179 0.266784903383638 8.33690760353206E-05 0.000102426979147724 5.31154788428749E-08 149576911071.699 170526404.418797 -34.1423263825748 29779.9822948404
6546.09360123548 0.350763413100611 0.000126917746446608 0.000117092615631733 6.98351599769211E-08 149576883078.862 194942613.442317 -39.0308718772444 29779.9767216133
7411.90139778722 0.45214310655042 0.000187381568800235 0.000132579657981019 9.00193251227812E-08 149576849285.631 220726347.921995 -44.1932193270063 29779.9699935583
8319.99517871024 0.572537862216198 0.00026912755320236 0.000148823081922876 1.13989288800757E-07 149576809154.046 247769351.846639 -49.6076939742921 29779.9620035704
9266.77993961071 0.713441279796815 0.0003770508682694 0.000165758581058802 1.42042418613132E-07 149576762186.24 275964564.360102 -55.2528603529342 29779.9526525271
10248.7692192965 0.876214419646097 0.000516534992239089 0.000183323790453624 1.7444969423337E-07 149576707928.527 305208156.859818 -61.1079301512079 29779.9418501019
11262.6346108423 1.06208005508209 0.000693403489175944 0.000201459172271636 2.11454563074932E-07 149576645973.315 335401007.452313 -67.1530574238788 29779.9295151456
12305.2392563215 1.27212231136435 0.000913866985717827 0.000220108614922531 2.53272868418411E-07 149576575959.23 366449698.443924 -73.3695383075102 29779.9155757105
13373.6582330818 1.50729051838591 0.00118446850839847 0.000239219797730876 3.0009361646773E-07 149576497569.827 398267123.462286 -79.7399325769586 29779.8999687945
14465.1885125405 1.76840615538821 0.0015120297577916 0.000258744369084403 3.52080359012151E-07 149576410531.282 430772784.047138 -86.2481230281345 29779.8826398803
15577.3509106518 2.05617189614096 0.00190360027070419 0.000278637981333122 4.09372994279753E-07 149576314609.368 463892847.752175 -92.8793271110405 29779.8635423352
16707.8860702776 2.37118191194461 0.00236641080637011 0.00029886021893354 4.72089818216545E-07 149576209606.029 497560028.515613 -99.6200729778468 29779.8426367273
17854.7462024449 2.71393276156525 0.00290783176519956 0.000319374450729133 5.40329692620294E-07 149576095355.746 531713340.728695 -106.458150243044 29779.8198901025
19016.0839421232 3.08483434203192 0.00353533699145796 0.00034014763061581 6.14174225391211E-07 149575971721.886 566297767.372828 -113.382543538603 29779.7952752582
20190.2394284687 3.48422052472372 0.00425647298450487 0.000361150066446539 6.93689888124917E-07 149575838593.158 601263875.279551 -120.38335548218 29779.7687700373
21375.7264365908 3.91235921079021 0.00507883328520103 0.000382355171969051 7.78930018097131E-07 149575695880.263 636567402.143099 -127.451723989684 29779.7403566606
22571.2181977 4.36946164127055 0.00601003764844452 0.000403739213188521 8.69936671862218E-07 149575543512.786 672168834.251372 -134.579737729507 29779.7100211094
23775.5333490073 4.8556908637166 0.00705771550018531 0.000425281057050329 9.66742310915585E-07 149575381436.379 708032988.079481 -141.76035235011 29779.677752563
24987.6223687382 5.37116933233815 0.00822949316984872 0.000446961928799518 1.06937131484442E-06 149575209610.223 744128606.32875 -148.987309599839 29779.643542895
26206.5546698224 5.91598563201781 0.00953298432915602 0.000468765181121655 1.17784132004507E-06 149575028004.789 780427973.579997 -156.255060373885 29779.6073862266
27431.5065251586 6.4902003758969 0.0109757831528689 0.000490676078157918 1.29216439390236E-06 149574836599.875 816906556.710224 -163.558692719306 29779.5692785354
28661.7498664213 7.09385131754852 0.0125654596989035 0.000512681595145195 1.41234805259712E-06 149574635382.894 853542671.322646 -170.893865048398 29779.5292173158
29896.6420006803 7.72695774878629 0.0143095570952458 0.000534770234473154 1.53839613668719E-06 149574424347.417 890317175.508575 -178.256744824385 29779.4872012878
31135.6162319902 8.38952424921609 0.016215590151786 0.000556931857928653 1.67030955762377E-06 149574203491.917 927213190.558833 -185.643952642884 29779.4432301475
32378.1733616527 9.08154385850034 0.0182910450768275 0.000579157534657155 1.8080869293326E-06 149573972818.714 964215847.841672 -193.052511552385 29779.3973043569
33623.8740180081 9.80300073626851 0.0205433800163046 0.000601439403962147 1.9517250977882E-06 149573732333.088 1001312060.38381 -200.479801320716 29779.3494249674
34872.3317792741 10.5538723830239 0.0229800262162971 0.000623770552290045 2.10121958318458E-06 149573482042.539 1038490318.06816 -207.923517430015 29779.2995934723
36123.2070076576 11.3341314682631 0.0256083895845951 0.000646144902937878 2.25656494390403E-06 149573221956.177 1075740504.01323 -215.381634312626 29779.2478116854
37376.2013511434 12.1437473281395 0.0284358525253676 0.000668557117703969 2.41775507469391E-06 149572952084.224 1113053730.83575 -222.85237256799 29779.1940816418
38631.0528600256 12.9826871857278 0.0314697759469193 0.000691002509534748 2.58478344961454E-06 149572672437.605 1150422195.22028 -230.334169844916 29779.1384055168
39887.5316385324 13.8509171227594 0.0347175013035322 0.000713476964743054 2.75764331550643E-06 149572383027.626 1187839048.42402 -237.825654914351 29779.0807855615
41145.4360044598 14.7484028578492 0.0381863526616471 0.000735976874313368 2.93632784693083E-06 149572083865.714 1225298281.90993 -245.325624771123 29779.021224051
42404.589078179 15.6751103457247 0.0418836386737201 0.000758499072887514 3.12083026547286E-06 149571774963.218 1262794625.76676 -252.833024295838 29778.9597232448
43664.8357798883 16.631006243227 0.045816654486396 0.000781040785052797 3.31114393251961E-06 149571456331.252 1300323459.28658 -260.346928350932 29778.8962853558
44926.0401791146 17.6160582582075 0.0499926835299992 0.000803599577931021 3.50726241872331E-06 149571127980.581 1337880732.03234 -267.866525977007 29778.8309125271
46188.083151754 18.6302353975008 0.0544189991531723 0.000826173319268633 3.70917955337127E-06 149570789921.534 1375462894.06398 -275.391106422878 29778.7636068155
47450.8603265518 19.6735081449038 0.0591028661493644 0.000848760140704212 3.91688945982043E-06 149570442163.952 1413066834.78413 -282.920046901404 29778.6943701801
48714.2802705502 20.7458485699999 0.064051542114418 0.000871358405310513 4.13038657716331E-06 149570084717.143 1450689828.90027 -290.452801770171 29778.6232044743
49978.2628966919 21.847230389372 0.0692722786739569 0.00089396667911035 4.34966567241516E-06 149569717589.87 1488329489.00277 -297.988893036783 29778.5501114425
51242.7380678744 22.9776289911477 0.0747723225896683 0.000916583706106494 4.57472184540056E-06 149569340790.336 1525983723.99325 -305.527902035498 29778.4750927182
52507.6443629097 24.137021421365 0.0805589167027554 0.000939208386207673 4.8055505260388E-06 149568954326.193 1563650702.33456 -313.069462069224 29778.3981498246
53772.9280027386 25.3253863555217 0.0866393007988999 0.00096183975602114 5.04214746867927E-06 149568558204.548 1601328820.07315 -320.613252007047 29778.3192841771
55038.5419014413 26.5427040460279 0.0930207123316847 0.000984476971877562 5.28450874163951E-06 149568152431.985 1639016672.57794 -328.158990625854 29778.2384970861
