a planet
0 1 -0.5
0.01 0.995000581964269 -0.499875501006727
0.0286809057929448 0.985665587463762 -0.499511687778637
0.0608762650292573 0.969598817020067 -0.49848374266205
0.112290704974826 0.944033225097061 -0.495792155468248
0.187169541021419 0.907124720589895 -0.489575175278487
0.281340331305664 0.861535911578921 -0.477937404499766
0.383013131021699 0.81377833934718 -0.460703350968549
0.48638090361251 0.767269221150044 -0.438384539874545
0.590022032023929 0.723195047213144 -0.4113805362691
0.693685750468708 0.68213912404951 -0.380018231287323
0.797338014029143 0.644549904986152 -0.344635647681786
0.900981066702767 0.610823626152347 -0.305605021705723
1.00462207919681 0.581314736771224 -0.263335523233667
1.10826756470699 0.55633446336872 -0.218270841590338
1.21192225186726 0.536147654395947 -0.170885313037938
1.31558882821675 0.520969614544606 -0.12167935704703
1.41926795970257 0.510963288571282 -0.0711743749250958
1.52295848568495 0.50623694964145 -0.0199071682040608
1.62665776097872 0.506842513965109 0.0315760516129311
1.73036211682581 0.512774584482357 0.082725955021568
1.83406740324333 0.523970297276684 0.13299654845027
1.93776956696997 0.54031000471358 0.181851628759835
2.04146521493204 0.561618783713867 0.228771070880102
2.14515211531728 0.587668712910124 0.273256792902063
2.24882959517458 0.618181825315358 0.314838269809706
2.35249880475625 0.652833618746872 0.353077504876091
2.45616283205652 0.691256997052984 0.387573409986349
2.55982666570655 0.733046521414606 0.417965586846583
2.66349701618342 0.777762869069435 0.443937533703393
2.7671820156253 0.824937423129755 0.465219324399421
2.87089082395677 0.874076946711118 0.481589816426565
2.97463317216402 0.924668322048964 0.492878442499459
3.07963815138841 0.976791760716166 0.499006923142073
3.18610969047891 1.03000890819716 0.499717762516005
3.29401394618681 1.08371535091322 0.494782913686224
3.4032731609445 1.13724064354298 0.484049336217316
3.51380031460339 1.18987634548325 0.46745182351544
3.62550474733327 1.24089168451853 0.445020007003291
3.73829285833633 1.2895481727811 0.416882989058331
3.85206813782309 1.33511495723489 0.383271718027029
3.96673125053781 1.3768848547073 0.344518865732437
4.08218027773197 1.41419063677888 0.301056017139584
4.19831110015008 1.44642101604775 0.253408097533824
4.31501786498063 1.47303575216348 0.202185098539664
4.43219346248383 1.49357931612965 0.148071301313487
4.54972994061646 1.50769261708813 0.0918123127550371
4.66751880330117 1.51512239184593 0.0342003158678005
4.78545116832777 1.51572796604969 -0.023942017183452
4.90341779646327 1.5094851995039 -0.0817784854358945
5.02130903683486 1.4964875160865 -0.138476733298864
5.13901475684079 1.47694398989908 -0.193225587658268
5.25642433464714 1.45117452108957 -0.245251910423933
5.37342678436073 1.41960219938567 -0.29383651306718
5.48991105988301 1.38274303248624 -0.338328671118753
5.6057665488966 1.34119331478774 -0.378158779669219
5.72088372778031 1.29561502540017 -0.412848720675454
