a planet
0 1 -0.5
0.01 0.995000581964269 -0.499875501006727
0.0256690869621648 0.987170132929512 -0.499581900384518
0.0488376952422369 0.975602590036947 -0.498927475715943
0.0813446069155462 0.959404717990889 -0.497566710029514
0.124730822948534 0.93787068878654 -0.49494743618376
0.179663524584815 0.910802293899772 -0.490320515973851
0.245094341790352 0.878951317974007 -0.482915596888372
0.317994847235395 0.844119196212794 -0.472275643749112
0.395336679423736 0.808115624583325 -0.458292472302819
0.474886703447018 0.772323754084484 -0.441098686968102
0.555408766525003 0.737600402192578 -0.42089794730445
0.636331281460691 0.704453401119172 -0.397889593991785
0.717413396655522 0.673213805585276 -0.3722609230256
0.798558928610351 0.644129403639728 -0.344196346466303
0.87973139656365 0.617405855530829 -0.313885403071579
0.960918137249459 0.593222933299261 -0.281527094470136
1.04211560512896 0.571740275746225 -0.247331567222121
1.12332342045494 0.553098969081358 -0.211520264951746
1.20454197614717 0.537421537424087 -0.17432524967342
1.28577149230934 0.524811377221114 -0.135988063641442
1.36701166990111 0.515352050136672 -0.0967583164280635
1.44826160241682 0.509106606986522 -0.0568920900458328
1.52951980721245 0.506117020942455 -0.0166502135825755
1.61078431909448 0.50640377047941 0.0237035579085915
1.69205281963015 0.509965595873428 0.0639044303077973
1.77332278745056 0.516779443520804 0.103688493583249
1.85459165897343 0.52680060501129 0.142794650898917
1.93585699095887 0.53996305122968 0.180966523383203
2.01711661662919 0.556179955415534 0.217954301080095
2.09836878845986 0.575344393469906 0.253516513385614
2.17961230036286 0.597330204728158 0.287421695488613
2.26084658576745 0.621992993437938 0.319449933334434
2.34207178681918 0.649171248575119 0.349394273837877
2.42328879350291 0.678687559545131 0.37706199354437
2.50449925216811 0.710349906044624 0.402275723766343
2.5857055444912 0.743953002470742 0.424874434805161
2.66691073906438 0.779279680212074 0.444714285395294
2.74811851873653 0.816102294645259 0.461669345928722
2.82933308753608 0.854184147359379 0.475632205291249
2.91055906133074 0.893280917650007 0.486514471299826
2.99214797734974 0.933313426308013 0.49427333814221
3.07466866529991 0.97431236891374 0.498838125570264
3.15832121409045 1.01611677537156 0.500067801802573
3.24315011523349 1.05846633499347 0.497815941285916
3.32913388140112 1.10104421849297 0.491957340685733
3.41622390714169 1.14349884601908 0.482399828280521
3.50436091414315 1.18545611377513 0.469090133935474
3.59348153744897 1.2265274773415 0.452017298923194
3.68352074593529 1.26631645304205 0.431214895068396
3.77441260735655 1.3044246747977 0.406762436140424
3.86609045650501 1.34045794361385 0.378786041326984
3.9584868901825 1.37403237629233 0.347458314077073
4.05153374655962 1.40478060851811 0.312997387782519
4.14516211935047 1.43235793968716 0.275665107446421
4.23930241370874 1.45644827782432 0.235764344490023
4.33388443443723 1.47676973478444 0.193635472003138
