time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
5242.87 0.163894160242281 2.4439476109546E-05 9.37813444258439E-05 3.26304688643931E-08 149576945368.613 156132651.085548 -31.260448141948 29779.9891231771
10079.8192259605 0.61750973435547 0.000182271387755987 0.000180301752120054 1.22942920379042E-07 149576794163.422 300176937.781355 -60.1005840400179 29779.9590190265
18346.8436183743 2.10806862769335 0.00119864344842178 0.000328176906799853 4.19704937202221E-07 149576297310.457 546368570.625231 -109.392302266618 29779.8600983543
31560.7063754467 6.44455297399809 0.00674456655432223 0.000564536155872753 1.28307211096981E-06 149574851815.675 939875531.279283 -188.178718624251 29779.5723092964
51478.925776836 17.6891073120151 0.0323010768350318 0.000920810612567206 3.52177494245654E-06 149571103630.896 1533031550.62602 -306.936870855735 29778.8260750192
80001.8530491093 43.9533198699542 0.132752401360955 0.00143097169391963 8.75067955507998E-06 149562348893.377 2382410790.05471 -476.990564639877 29777.083106815
119054.058491794 99.8359170906135 0.474485716605035 0.00212938546444559 1.98758625675928E-05 149543721360.97 3545271487.25429 -709.795154815197 29773.3747124775
170463.395482104 209.306205446347 1.49629057200721 0.00304859953736667 4.16679071649262E-05 149507231264.851 5075900849.34905 -1016.19984578889 29766.1106976117
235854.102215504 408.656271780867 4.22098430614183 0.00421734041334507 8.13476789151967E-05 149440781242.74 7022327747.7849 -1405.78013778169 29752.8841070283
316565.309320371 749.042886890888 10.7866532726263 0.00565891050964676 0.000149088074977438 149327319037.703 9423718794.83089 -1886.30350321559 29730.3039750075
413600.313728281 1298.15526019169 25.2534144172232 0.0073900723911077 0.000258337895623174 149144281579.936 12308598799.0014 -2463.35746370256 29693.8873681256
527606.556900382 2140.66959972088 54.7055455990795 0.00942042107969873 0.000425898779161296 148863443466.76 15693887139.8996 -3140.14035989958 29638.0337402796
658882.324249979 3377.34253151426 110.615731292124 0.0117521877450167 0.000671724634243867 148451219156.162 19584642528.4427 -3917.39591500558 29556.0917885854
807404.006615713 5122.79712215483 210.38139807059 0.014380390477395 0.00101845409984739 147869400959.282 23974362741.6563 -4793.46349246499 29440.5153000509
972867.128421411 7502.22128056407 378.897982736156 0.0172932434743467 0.00149072081436386 147076259573.145 28845682018.4919 -5764.41449144891 29283.0930618787
1154734.81647461 10647.3033014797 650.011914510458 0.0204727454687633 0.00211430824613474 146027898899.507 34171330133.1636 -6824.24848958775 29075.2305846218
1352288.48858636 14691.769104375 1067.70124744916 0.0238953833897787 0.00291522435538199 144679743631.875 39915248358.0162 -7965.12779659289 28808.258548206
1564676.89109091 19766.8711052579 1686.86105408153 0.0275329026567317 0.00391876840489996 142988042964.914 46033788002.8956 -9177.63421891057 28473.7438650334
1790960.92798386 25997.1270919882 2573.61573518552 0.0313531083440737 0.00514865135845917 140911290969.337 52476941323.5418 -10451.0361146912 28063.7828805136
2030152.85555633 33496.5370622312 3805.13150412307 0.0353206711913752 0.00662621635346068 138411487645.923 59189571242.9495 -11773.5570637917 27571.2612155131
2281249.28265257 42365.4308688928 5468.95065581454 0.0393979191157492 0.00836978983488638 135455189710.369 66112616009.3191 -13132.6397052497 26990.0700550379
2543258.03070616 52688.029712971 7661.90868034732 0.0435455995242402 0.0103941793458601 132014323429.01 73184250050.0203 -14515.1998414134 26315.27355138
2815219.29509714 64530.7453076838 10488.7226679452 0.0477236009283367 0.0127103218790805 128066751564.105 80340984688.4441 -15907.8669761122 25543.2260403065
3096221.75867103 77941.1939345364 14060.354214486 0.051891624715268 0.0153250775137168 123596602021.821 87518693702.7323 -17297.2082384227 24671.6408287611
3385414.38880549 92947.8684674946 18492.2534217782 0.0560097998141048 0.0182411566661628 118594377177.502 94653549975.643 -18669.9332713683 23699.6144446124
3682014.64929631 109560.388685645 23902.5849159961 0.0600392347067663 0.0214571653039341 113056870438.118 101682861371.688 -20013.0782355888 22627.6115653553
3985313.80280241 127770.236656771 30410.5245988433 0.0639425027579776 0.0249677503213035 106986921114.41 108545796393.549 -21314.1675859925 21457.4165595655
4294679.90221489 147551.87813478 38134.6996633992 0.0676840583738717 0.0287638265247354 100393040621.74 115183993259.759 -22561.3527912906 20192.0578250882
4609558.98851051 168864.171313586 47191.8265344459 0.0712305830677809 0.0328328669587917 93288942895.4713 121542049596.668 -23743.5276892603 18835.7110137361
4929474.92074899 191651.968332338 57695.5831454045 0.0745512618802811 0.0371592390909755 85693010555.8873 127567893283.451 -24850.4206267604 17393.5869696749
5254028.19713714 215847.823182703 69755.7352168619 0.0776179921494026 0.0417245707928333 77627725605.7657 133213038583.893 -25872.6640498009 15871.8097357222
5582894.05746395 241373.729416201 83477.5212641068 0.0804055279181025 0.0465081316286902 69119090194.5995 138432734634.393 -26801.8426393675 14277.2894571033
5915820.10148705 268142.822137418 98961.288613126 0.0828915644680366 0.0514872167313973 60196059287.5272 143186015847.522 -27630.5214893455 12617.5944228676
6252623.61918248 296060.99096244 116302.363284143 0.0850567685499631 0.0566375225222322 50890003012.5199 147435665779.019 -28352.256183321 10900.8258259226
6593188.78533005 325028.361737591 135591.129394788 0.0868847606156411 0.0619335053601546 41234212754.1362 151148107114.823 -28961.5868718803 9135.49821328181
6937463.84851548 354940.616393657 156913.289586621 0.088362055971061 0.0673487162128903 31263461202.1143 154293231150.724 -29454.0186570203 7330.42792903658
7285458.41677205 385690.130066598 180350.27560154 0.0894779720272084 0.0728561062161013 21013623311.134 156844180099.968 -29825.9906757361 5494.63126129958
7637240.926125 417166.913709536 205979.777930155 0.0902245088851647 0.0784282997483059 10521362096.8214 158777095157.062 -30074.8362950549 3637.23341723139
7992936.36361282 449259.357944021 233876.364646759 0.0905962102895363 0.0840378332153207 -176119314.673725 160070842411.025 -30198.7367631787 1767.38892822644
8352724.30011919 481854.779543664 264112.161433618 0.0905900115771658 0.0896573590381257 -11041259847.8882 160706727588.362 -30196.6705257219 -105.786346041868
8716837.28379706 514839.776971339 296757.567982943 0.0902050807123701 0.0952598155735122 -22036258990.4465 160668209408.584 -30068.3602374567 -1973.27185783736
9085559.63562779 548100.404483048 331881.989108705 0.0894426578170139 0.100818564603564 -33123134827.6827 159940620012.016 -29814.219272338 -3826.18820118782
9459226.68070736 581522.176128288 369554.561972928 0.0883058978728417 0.106307498711534 -44263725376.0961 158510899658.743 -29435.2992909472 -5655.83290384462
9838224.45008939 614989.912437308 409844.864435764 0.0867997205087817 0.11170112145495 -55419637479.1027 156367351732.801 -28933.2401695939 -7453.70715165002
10222989.8790421 648387.442127993 452823.591768153 0.0849306700469135 0.116974603475263 -66552147375.9977 153499423075.385 -28310.2233489712 -9211.53449175438
10614011.5308754 681597.171028461 498563.191697218 0.0827067882771276 0.122103817923853 -77622057009.4869 149897513858.614 -27568.9294257092 -10921.2726412843
11011830.8789851 714499.529650977 547138.45003088 0.0801375017629026 0.127065358663515 -88589509883.6589 145552820556.611 -26712.5005876342 -12575.1195545051
11417044.174389 746972.308877387 598627.01965728 0.0772335249462309 0.131836544542805 -99413769625.7956 140457215227.569 -25744.5083154103 -14165.5148476017
11830304.9344681 778889.892185201 653109.886992273 0.0740067798226358 0.13639541298779 -110052964061.734 134603164145.98 -24668.9266075453 -15685.1376625966
12252327.0925737 810122.391246448 710671.770083375 0.0704703325597049 0.140720705967116 -120463797082.149 127983688896.596 -23490.1108532349 -17126.9019890386
