t "{/Symbol q}(t)" "{/Symbol w}(t)"
0 3.04159265358979 0
0.102224763582953 3.04159265358979 -0.0510272340103699
0.199449426876021 3.03663154824202 -0.0983183063559704
0.292946976413243 3.02743902807464 -0.144998158002678
0.372754919927707 3.01586702396538 -0.187558117807494
0.440084353244868 3.00323884293706 -0.226614829879694
0.493377609316724 2.99116180150322 -0.260344689678714
0.538606751126191 2.97938663532091 -0.29129202664357
0.576996775941855 2.96820392786042 -0.319495459626474
0.609783194771884 2.95772881653533 -0.345158449524767
0.639451961739956 2.94748839154374 -0.36971999146542
0.666185941143477 2.93760430549988 -0.393032246829477
0.690251645409537 2.92814570824817 -0.415043337222568
0.711946939427924 2.91914122155702 -0.435770771149145
0.731567664028842 2.91059108378019 -0.455276985349557
0.750305264616033 2.90206028598401 -0.474594396839051
0.767201237186884 2.89404155255386 -0.492632422153037
0.783327418469602 2.88609727328514 -0.510403378525331
0.797907650033971 2.87865547428151 -0.526966853752478
0.811846852078752 2.87130997727688 -0.54324571899808
0.825148825582617 2.86408373755026 -0.559197549438607
0.837826313157652 2.85699451799061 -0.574790911866279
0.849898755614873 2.85005538819852 -0.590004133872655
0.861390361886416 2.84327529340028 -0.604823981649833
0.87232849896703 2.83665964617629 -0.619244334116564
0.882742386579955 2.83021090566278 -0.633264917630713
0.892662067681121 2.82392912000424 -0.646890143587896
0.902117619212583 2.81781241728335 -0.660128072852943
0.911138565869362 2.8118574375088 -0.672989516958434
0.919753460788748 2.80605970388622 -0.685487275403673
0.927989600346701 2.80041393535954 -0.697635501562207
0.935872844325016 2.79491430482277 -0.709449185513239
0.943427517147613 2.78955464866354 -0.720943740161105
0.950676370078261 2.7843286338334 -0.732134676423673
0.957640588100294 2.77922988863122 -0.743037353695981
0.964339828545599 2.77425210303763 -0.753666792829295
0.970792281419627 2.76938910386596 -0.764037540288294
0.977014743720993 2.76463490935994 -0.774163573637265
0.9830227018614 2.75998376729477 -0.78405823981515
0.988830417938704 2.75543017992307 -0.793734219234154
0.99445101664799 2.7509689186626 -0.803203509710872
0.999896570743756 2.74659503076299 -0.812477425653606
1.00517818340368 2.74230383996323 -0.82156660840964
1.01030606663382 2.73809094258229 -0.830481044880232
1.01528961504593 2.73395220033812 -0.839230091813528
1.02013747477187 2.72988373081933 -0.84782250396048
1.02485760740863 2.72588189638831 -0.856266464574628
1.02945734906004 2.72194329210282 -0.864569617130303
1.03394346461998 2.71806473312347 -0.872739097374166
1.03832219751467 2.71424324195861 -0.880781565059978
1.04259931520464 2.71047603577172 -0.888703234971649
1.0467801506929 2.70676051397135 -0.896509906842042
1.05086964036067 2.70309424619024 -0.904206994004972
1.05487235838727 2.69947496077272 -0.911799550584566
1.05879254803443 2.6959005338287 -0.919292297147335
1.06263415010038 2.69236897885266 -0.926689644862528
1.06640082874536 2.68887843696626 -0.933995718084114
1.07009599495249 2.68542716775828 -0.941214375442564
1.07372282782617 2.68201354072506 -0.948349229467487
1.07728429393247 2.67863602729002 -0.955403664811693
1.08078316486434 2.67529319337959 -0.962380855145554
1.08422203320273 2.67198369252592 -0.969283778802988
1.08760332703039 2.66870625946404 -0.976115233263997
1.09092932309685 2.66545970423259 -0.982877848469358
1.09420215881784 2.66224290669376 -0.989574099156944
1.0974238431981 2.65905481146669 -0.996206316243458
1.10059626676788 2.65589442325829 -1.00277669729504
1.1037212106328 2.65276080255821 -1.00928731616578
1.10680035473742 2.64965306165524 -1.01574013190056
1.10983528540776 2.64657036096079 -1.02213699693978
1.11282750222269 2.6435119056349 -1.02847966464172
1.11577842429924 2.64047694246932 -1.03476979622249
1.11868939605189 2.63746475700276 -1.04100896717093
1.12156169245619 2.63447467086891 -1.04719867314091
