Energy " m=125.97GeV/c²"
101.058 0.0158822960547814
101.116 0.0159563722796949
101.174 0.0160309676543221
101.232 0.0161060870382817
101.29 0.0161817353481537
101.348 0.016257917558282
101.406 0.0163346387015897
101.464 0.016411903870409
101.522 0.0164897182173238
101.58 0.0165680869560268
101.638 0.0166470153621907
101.696 0.016726508774354
101.754 0.0168065725948212
101.812 0.0168872122905791
101.87 0.0169684333942269
101.928 0.0170502415049235
101.986 0.0171326422893498
102.044 0.0172156414826875
102.102 0.0172992448896148
102.16 0.0173834583853185
102.218 0.0174682879165236
102.276 0.0175537395025407
102.334 0.0176398192363308
102.392 0.0177265332855889
102.45 0.0178138878938455
102.508 0.0179018893815882
102.566 0.0179905441474015
102.624 0.018079858669127
102.682 0.0181698395050437
102.74 0.0182604932950688
102.798 0.0183518267619791
102.856 0.0184438467126542
102.914 0.0185365600393418
102.972 0.018629973720944
103.03 0.0187240948243276
103.088 0.0188189305056568
103.146 0.0189144880117501
103.204 0.0190107746814602
103.262 0.01910779794708
103.32 0.019205565335772
103.378 0.0193040844710249
103.436 0.0194033630741352
103.494 0.0195034089657157
103.552 0.0196042300672315
103.61 0.0197058344025636
103.668 0.0198082300996006
103.726 0.0199114253918595
103.784 0.0200154286201363
103.842 0.0201202482341863
103.9 0.0202258927944352
103.958 0.0203323709737221
104.016 0.0204396915590738
104.074 0.0205478634535126
104.132 0.0206568956778973
104.19 0.0207667973727979
104.248 0.0208775778004057
104.306 0.020989246346479
104.364 0.0211018125223249
104.422 0.0212152859668183
104.48 0.0213296764484594
104.538 0.0214449938674689
104.596 0.0215612482579237
104.654 0.0216784497899332
104.712 0.0217966087718556
104.77 0.0219157356525585
104.828 0.0220358410237207
104.886 0.0221569356221793
104.944 0.0222790303323214
105.002 0.0224021361885222
105.06 0.0225262643776298
105.118 0.0226514262414985
105.176 0.0227776332795708
105.234 0.0229048971515103
105.292 0.0230332296798853
105.35 0.023162642852906
105.408 0.023293148827214
105.466 0.0234247599307281
105.524 0.0235574886655456
105.582 0.0236913477109008
105.64 0.0238263499261832
105.698 0.0239625083540147
105.756 0.024099836223389
105.814 0.0242383469528738
105.872 0.0243780541538767
105.93 0.0245189716339777
105.988 0.0246611134003285
106.046 0.0248044936631209
106.104 0.0249491268391251
106.162 0.0250950275553015
106.22 0.0252422106524841
106.278 0.0253906911891419
106.336 0.0255404844452153
106.394 0.025691605926033
106.452 0.0258440713663097
106.51 0.025997896734226
106.568 0.026153098235594
106.626 0.026309692318109
106.684 0.0264676956756909
106.742 0.0266271252529159
106.8 0.0267879982495422
106.858 0.0269503321251305
106.916 0.0271141446037629
106.974 0.0272794536788617
107.032 0.0274462776181108
107.09 0.0276146349684825
107.148 0.0277845445613714
107.206 0.0279560255178395
107.264 0.0281290972539736
107.322 0.028303779486359
107.38 0.0284800922376715
107.438 0.0286580558423917
107.496 0.0288376909526432
107.554 0.0290190185441593
107.612 0.0292020599223803
107.67 0.0293868367286854
107.728 0.0295733709467619
107.786 0.0297616849091159
107.844 0.0299518013037277
107.902 0.0301437431808559
107.96 0.0303375339599928
108.018 0.0305331974369775
108.076 0.0307307577912674
108.134 0.0309302395933755
108.192 0.0311316678124752
108.25 0.0313350678241788
108.308 0.0315404654184926
108.366 0.0317478868079548
108.424 0.0319573586359598
108.482 0.0321689079852741
108.54 0.0323825623867496
108.598 0.0325983498282383
108.656 0.0328162987637144
108.714 0.0330364381226098
108.772 0.0332587973193677
108.83 0.0334834062632204
108.888 0.0337102953681986
108.946 0.033939495563376
109.004 0.0341710383033584
109.062 0.0344049555790212
109.12 0.0346412799285044
109.178 0.0348800444484707
109.236 0.0351212828056345
109.294 0.0353650292485688
109.352 0.035611318619799
109.41 0.0358601863681886
109.468 0.0361116685616296
109.526 0.0363658019000407
109.584 0.0366226237286866
109.642 0.0368821720518243
109.7 0.0371444855466877
109.758 0.0374096035778177
109.816 0.0376775662117511
109.874 0.0379484142320745
109.932 0.0382221891548574
109.99 0.0384989332444719
110.048 0.0387786895298135
110.106 0.0390615018209317
110.164 0.0393474147260847
110.222 0.0396364736692282
110.28 0.0399287249079533
110.338 0.0402242155518851
110.396 0.040522993581556
110.454 0.0408251078677678
110.512 0.0411306081914572
110.57 0.0414395452640798
110.628 0.0417519707485275
110.686 0.0420679372805955
110.744 0.0423874984910158
110.802 0.0427107090280749
110.86 0.0430376245808311
110.918 0.0433683019029523
110.976 0.043702798837192
111.034 0.0440411743405229
111.092 0.0443834885099484
111.15 0.0447298026090147
111.208 0.0450801790950412
111.266 0.0454346816470971
111.324 0.0457933751947417
111.382 0.0461563259475576
111.44 0.0465236014254971
111.498 0.0468952704900722
111.556 0.0472714033764106
111.614 0.0476520717262084
111.672 0.048037348621606
111.73 0.04842730862002
111.788 0.0488220277899569
111.846 0.0492215837478462
111.904 0.049626055695921
111.962 0.0500355244611843
112.02 0.050450072535493
112.078 0.0508697841167995
112.136 0.051294745151587
112.194 0.0517250433785394
112.252 0.0521607683734859
112.31 0.0526020115956636
112.368 0.0530488664353424
112.426 0.0535014282628576
112.484 0.0539597944790983
112.542 0.0544240645675012
112.6 0.0548943401476002
112.658 0.0553707250301873
112.716 0.0558533252741374
112.774 0.056342249244957
112.832 0.0568376076751155
112.89 0.0573395137262212
112.948 0.0578480830531071
113.006 0.0583634338698933
113.064 0.0588856870180964
113.122 0.0594149660368575
113.18 0.0599513972353648
113.238 0.0604951097675503
113.296 0.0610462357091411
113.354 0.0616049101371495
113.412 0.0621712712118939
113.47 0.062745460261638
113.528 0.0633276218699482
113.586 0.0639179039658657
113.644 0.0645164579170009
113.702 0.0651234386256541
113.76 0.06573900462808
113.818 0.0663633181970088
113.876 0.0669965454475517
113.934 0.0676388564466122
113.992 0.0682904253259434
114.05 0.0689514303989836
114.108 0.0696220542816209
114.166 0.0703024840170317
114.224 0.0709929112047578
114.282 0.071693532134179
114.34 0.0724045479225607
114.398 0.0731261646578479
114.456 0.0738585935464006
114.514 0.0746020510658586
114.572 0.0753567591233467
114.63 0.0761229452192278
114.688 0.0769008426166323
114.746 0.0776906905169913
114.804 0.0784927342418233
114.862 0.0793072254210233
114.92 0.0801344221879262
114.978 0.0809745893814189
115.036 0.0818279987553958
115.094 0.0826949291958628
115.152 0.0835756669460079
115.21 0.0844705058395742
115.268 0.0853797475428864
115.326 0.0863037018058987
