Energy " m=125.97GeV/c²"
101.058 0.0158822844095327
101.116 0.0159563606343926
101.174 0.0160309560093498
101.232 0.0161060753940301
101.29 0.0161817237050209
101.348 0.0162579059166735
101.406 0.0163346270619188
101.464 0.0164118922330965
101.522 0.0164897065827986
101.58 0.0165680753247256
101.638 0.0166470037345586
101.696 0.0167264971508441
101.754 0.0168065609758954
101.812 0.0168872006767077
101.87 0.016968421785889
101.928 0.0170502299026072
101.986 0.0171326306935521
102.044 0.0172156298939148
102.102 0.0172992333083828
102.16 0.0173834468121525
102.218 0.0174682763519588
102.276 0.0175537279471221
102.334 0.0176398076906135
102.392 0.0177265217501382
102.45 0.0178138763692375
102.508 0.0179018778684093
102.566 0.017990532646249
102.624 0.0180798471806095
102.682 0.0181698280297809
102.74 0.0182604818336918
102.798 0.0183518153151309
102.856 0.0184438352809895
102.914 0.0185365486235274
102.972 0.0186299623216591
103.03 0.0187240834422639
103.088 0.0188189191415189
103.146 0.0189144766662555
103.204 0.0190107633553398
103.262 0.019107786641078
103.32 0.0192055540506465
103.378 0.0193040732075481
103.436 0.0194033518330934
103.494 0.0195033977479098
103.552 0.0196042188734772
103.61 0.0197058232336918
103.668 0.0198082189564574
103.726 0.0199114142753068
103.784 0.020015417531052
103.842 0.0201202371734643
103.9 0.0202258817629863
103.958 0.0203323599724737
104.016 0.0204396805889706
104.074 0.020547852515517
104.132 0.0206568847729893
104.19 0.0207667865019757
104.248 0.0208775669646862
104.306 0.0209892355468978
104.364 0.0211018017599371
104.422 0.0212152752426985
104.48 0.0213296657637021
104.538 0.0214449832231891
104.596 0.0215612376552573
104.654 0.0216784392300369
104.712 0.0217965982559082
104.77 0.0219157251817604
104.828 0.022035830599295
104.886 0.0221569252453717
104.944 0.0222790200044011
105.002 0.0224021259107822
105.06 0.0225262541513873
105.118 0.0226514160680954
105.176 0.0227776231603741
105.234 0.0229048870879128
105.292 0.0230332196733061
105.35 0.0231626329047907
105.408 0.0232931389390356
105.466 0.0234247501039873
105.524 0.0235574789017714
105.582 0.0236913380116513
105.64 0.0238263402930458
105.698 0.023962498788607
105.756 0.0240998267273592
105.814 0.0242383375279013
105.872 0.024378044801673
105.93 0.0245189623562868
105.988 0.0246611041989275
106.046 0.0248044845398208
106.104 0.0249491177957717
106.162 0.0250950185937756
106.22 0.0252422017747028
106.278 0.0253906823970588
106.336 0.0255404757408215
106.394 0.0256915973113581
106.452 0.025844062843422
106.51 0.0259978883052339
106.568 0.0261530899026464
106.626 0.0263096840833965
106.684 0.0264676875414464
106.742 0.0266271172214155
106.8 0.0267879903231061
106.858 0.0269503243061242
106.916 0.0271141368945977
106.974 0.0272794460819961
107.032 0.0274462701360511
107.09 0.027614627603784
107.148 0.0277845373166394
107.206 0.0279560183957306
107.264 0.0281290902571964
107.322 0.0283037726176754
107.38 0.0284800854998979
107.438 0.0286580492383999
107.496 0.0288376844853619
107.554 0.0290190122165752
107.612 0.0292020537375393
107.67 0.0293868306896939
107.728 0.0295733650567882
107.786 0.0297616791713914
107.844 0.0299517957215484
107.902 0.0301437377575837
107.96 0.0303375286990572
108.018 0.0305331923418765
108.076 0.0307307528655697
108.134 0.0309302348407217
108.192 0.0311316632365794
108.25 0.0313350634288301
108.308 0.0315404612075572
108.366 0.0317478827853773
108.424 0.0319573548057651
108.482 0.0321689043515693
108.54 0.0323825589537256
108.598 0.0325983466001718
108.656 0.03281629574497
108.714 0.0330364353176418
108.772 0.0332587947327222
108.83 0.0334834038995373
108.888 0.033710293232214
108.946 0.033939493659924
109.004 0.0341710366373737
109.062 0.0344049541555412
109.12 0.0346412787526717
109.178 0.0348800435255355
109.236 0.035121282140957
109.294 0.0353650288476221
109.352 0.0356113184881711
109.41 0.0358601865115858
109.468 0.0361116689858787
109.526 0.0363658026110922
109.584 0.0366226247326175
109.642 0.0368821733548411
109.7 0.0371444871551293
109.758 0.037409605498159
109.816 0.0376775684506059
109.874 0.0379484167961988
109.932 0.038222192051153
109.99 0.0384989364799898
110.048 0.0387786931117576
110.106 0.0390615057566623
110.164 0.0393474190231227
110.222 0.0396364783352586
110.28 0.0399287299508295
110.338 0.0402242209796328
110.396 0.0405229994023776
110.454 0.0408251140900469
110.512 0.0411306148237627
110.57 0.041439552315171
110.628 0.0417519782273584
110.686 0.0420679451963198
110.744 0.0423875068529922
110.802 0.0427107178458719
110.86 0.0430376338642324
110.918 0.0433683116619625
110.976 0.0437028090820418
111.034 0.0440411850816752
111.092 0.0443834997581041
111.15 0.0447298143751188
111.208 0.0450801913902893
111.266 0.0454346944829415
111.324 0.0457933885828985
111.382 0.0461563399000131
111.44 0.0465236159545154
111.498 0.0468952856082021
111.556 0.0472714190964931
111.614 0.0476520880613845
111.672 0.0480373655853248
111.73 0.0484273262260466
111.788 0.048822046052381
111.846 0.0492216026810908
111.904 0.0496260753147514
111.962 0.0500355447807172
112.02 0.0504500935712059
112.078 0.0508698058845409
112.136 0.0512947676675861
112.194 0.0517250666594169
112.252 0.0521607924362642
112.31 0.0526020364577786
112.368 0.0530488921146543
112.426 0.0535014547776632
112.484 0.0539598218481426
112.542 0.0544240928099904
112.6 0.0548943692832145
112.658 0.0553707550790944
112.716 0.0558533562570059
112.774 0.056342281182971
112.832 0.0568376405899892
112.89 0.0573395476402141
112.948 0.0578481179890396
113.006 0.0583634698511629
113.064 0.0588857240686945
113.122 0.0594150041813865
113.18 0.0599514364990562
113.238 0.060495150176283
113.296 0.0610462772894602
113.354 0.0616049529162865
113.412 0.0621713152177868
113.47 0.0627455055229521
