t x1 m_1 vx1 vy1 x2 m_2 vx2 vy2 x3 m_3 vx3 vy3
0 0.97000436 -0.24308753 0.466203685 0.43236573 -0.97000436 0.24308753 0.466203685 0.43236573 0 0 -0.93240737 -0.86473146
0.01 0.974606043436743 -0.238749018531362 0.454160287310262 0.435303179838383 -0.965281426453749 0.247395647057802 0.478410221661545 0.42922260388136 -0.00932461698299449 -0.00864662852643966 -0.932570508971808 -0.864525783719743
0.03 0.983452194519274 -0.229988739482382 0.430563802371553 0.440600807669727 -0.955465306191632 0.255912161069195 0.503309344553784 0.422277786832587 -0.0279868883276417 -0.0259234215868131 -0.933873146925338 -0.862878594502315
0.07 0.999761246582515 -0.212185293476079 0.385318452724081 0.449148221393903 -0.934307331207923 0.27248053778248 0.555001557925987 0.405447513120976 -0.0654539153745925 -0.0602952443064007 -0.940320010650067 -0.854595734514879
0.134847904841837 1.02250785745513 -0.1827329263921 0.317280567640288 0.458378485149401 -0.895472014272686 0.297637804245294 0.643641110318193 0.368172672111072 -0.127035843182444 -0.114904877853194 -0.960921677958481 -0.826551157260473
0.198202939803923 1.04065903870311 -0.153515243054152 0.256611497429519 0.463447417090772 -0.85183422893186 0.319428368167215 0.734388649704011 0.317024767310572 -0.188824809771246 -0.165913125113063 -0.99100014713353 -0.780472184401344
0.26237722391509 1.05529164826446 -0.123680591259341 0.200183213226959 0.466021018055646 -0.801719445528132 0.337640372926259 0.827242066860736 0.247340224524371 -0.253572202736329 -0.213959781666918 -1.02742528008769 -0.713361242580018
0.323801569207592 1.06603083423368 -0.0950190331619516 0.15004675275776 0.467038383879363 -0.748257896487867 0.350304323823778 0.912435453891485 0.161865466788291 -0.317772937745808 -0.255285290661826 -1.06248220664924 -0.628903850667654
0.383920555848673 1.07364944653607 -0.0669306817986631 0.103800641602714 0.467308185209583 -0.691106954751882 0.35706852869282 0.986866350690189 0.0603284524145861 -0.382542491784186 -0.290137846894157 -1.0906669922929 -0.527636637624169
0.443085883393185 1.07849389773916 -0.0392822992660329 0.0602107304084467 0.467283272247873 -0.63088911739808 0.357301853459078 1.04593688366432 -0.0545933531878527 -0.447604780341083 -0.318019554193045 -1.10614761407277 -0.41268991906002
0.501671406665697 1.08078583109507 -0.0119083612299929 0.0181503616664512 0.467218027622553 -0.568339573669254 0.350512261084148 1.08606435636204 -0.178327765817019 -0.512446257425818 -0.338603899854155 -1.10421471802849 -0.288890261805534
0.560087160887006 1.08063106387098 0.0153842627585036 -0.0234572230128752 0.467223515837571 -0.504226141178862 0.336394930369185 1.10554682638546 -0.304939505568672 -0.576404922692115 -0.351779193127688 -1.08208960337258 -0.162284010268899
0.618937939235166 1.0780084378302 0.0428826525893638 -0.065807266692224 0.467292676612672 -0.439086163401246 0.314779302108647 1.1050271290769 -0.428361714540749 -0.63892227442896 -0.357661954698011 -1.03921986238468 -0.038930962071924
0.678955453065477 1.07273368568164 0.0709293751976776 -0.11024396070741 0.46729568939408 -0.373223909055925 0.285556378127492 1.08727611018788 -0.543096425918112 -0.699509776625718 -0.35648575332517 -0.977032149480472 0.0758007365240324
0.740726368147742 1.06445770188115 0.0997864758046287 -0.158154354034403 0.46693580863161 -0.306954357300816 0.248785602465049 1.05691187192653 -0.644312626394015 -0.757503344580332 -0.348572078269677 -0.898757517892126 0.177376817762405
0.804375772814777 1.05273695150122 0.129472957146247 -0.210764312807218 0.465669950981898 -0.24084238764446 0.204997604921362 1.02015152967269 -0.728035867522352 -0.811894563856765 -0.334470562067609 -0.809387216865469 0.262365916540453
0.869726693772157 1.03708098720597 0.159817487524058 -0.269199662316944 0.462611619906441 -0.175385369929727 0.155210634809268 0.983882604625201 -0.792010365638703 -0.861695617276248 -0.315028122333326 -0.714682942308257 0.329398745732262
0.936992078855658 1.01679385096064 0.190746906884444 -0.335040259331023 0.456358337264165 -0.110259416160812 0.100338114799203 0.954209398623147 -0.835968138031142 -0.90653443479983 -0.291085021683646 -0.619169139292124 0.379609800766977
1.00692782422413 0.990765664875533 0.22229037084194 -0.4105750861459 0.44463057193163 -0.0442454914207312 0.0409072765077559 0.93605504992897 -0.860100661972396 -0.946520173454802 -0.263197647349696 -0.525479963783069 0.415470090040766
1.07969309085637 0.957780082808179 0.253954790282557 -0.497493012819576 0.423965368118884 0.0236680026818911 -0.0219308759756949 0.933456788341871 -0.863406770340202 -0.981448085490071 -0.232023914306862 -0.435963775522295 0.439441402221318
1.14834612378701 0.920587045790483 0.282078602764302 -0.587199533003968 0.393204623823897 0.088118808313353 -0.0807350844910037 0.946563066302078 -0.846360303308009 -1.00870585410384 -0.201343518273298 -0.359363533298111 0.453155679484112
1.21340605020407 0.879455190334047 0.3063522232823 -0.678014779242457 0.350496455223907 0.150452742033118 -0.134759498594283 0.971447446708972 -0.811190531623116 -1.02990793236717 -0.171592724688017 -0.293432667466515 0.460694076399209
1.27596955269676 0.834215546347346 0.326594232512212 -0.768429508622971 0.293789140077078 0.212211282334708 -0.183960537276809 1.00388511096455 -0.758413778662515 -1.04642682868206 -0.142633695235402 -0.235455602341577 0.464624638585437
1.33920776896707 0.782736461370314 0.342885057883053 -0.859166728705877 0.218199686922569 0.276849658436994 -0.229701637239377 1.04058255362171 -0.684716835747456 -1.05958611980731 -0.113183420643676 -0.181415824915835 0.466517148824887
1.40006232624656 0.727922408792324 0.35347538790347 -0.940932394190458 0.126790453872658 0.341212049472956 -0.268706289162966 1.07382116849514 -0.593984461150984 -1.06913445826528 -0.0847690987405034 -0.132888774304681 0.467194007278326
