time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
64216779.2432869 143027.158391607 5436632.66581546 0.064381753359792 0.0242397501425749 101901280536.131 100164682517.388 -21460.584453264 21700.0832858084
68025393.5094781 458031.09202454 5650378.81577921 0.0917311537588655 0.0918702227294651 -3100030674.84714 142336491904.748 -30577.0512529552 -843.407576488356
71816309.3003675 765101.425497625 6132556.341792 0.0609989662480564 0.158382903140368 -105456808499.209 94504115379.5623 -20332.9887493521 -23014.3010467894
75574632.0942069 869557.65228422 6789208.14156794 -0.00874044224751261 0.181427759666813 -140275550761.407 -12456971793.9189 2913.48074917085 -30695.9198889378
79295248.6321777 708240.133204506 7415515.23360942 -0.0731976065166113 0.146273110868739 -86503044401.5027 -110426048621.64 24399.2021722037 -18977.7036229129
82985832.0671586 385940.94301902 7829350.5059557 -0.0917068487595456 0.0753984175094036 20930018993.6595 -138465571304.336 30568.9495865152 4647.19416353215
86661685.6631794 104252.697996874 7982763.92640918 -0.0530386756283343 0.0133738981094274 114826100667.708 -80136464600.6804 17679.5585427781 25322.0339635242
90336336.6810144 37148.7387000582 7986874.97154009 0.0185412590521026 -0.00132778788570056 137194087099.98 27924287767.6102 -6180.41968403423 30222.5959619002
94013739.9482246 226363.223950295 8043705.38352778 0.0786634703334834 0.0405156790316167 74122592016.5674 118493879831.781 -26221.1567778278 16274.7736561278
97686220.8168437 553859.228348044 8323061.38225724 0.0896906288179421 0.113238819467728 -35042742782.6824 134741687294.119 -29896.8762726474 -7966.27315590937
101339213.924343 813181.657050872 8854213.32189739 0.0441749975818222 0.171388075301305 -121483552350.292 66477168961.5481 -14724.9991939407 -27349.3584337683
104960279.398444 841656.721806277 9505364.93638345 -0.0295029595417257 0.178093868799628 -130975240602.093 -42738045851.8458 9834.31984724188 -29584.6229332092
108546871.347819 624571.424742303 10070043.6023261 -0.0848668877607414 0.129103730192256 -58613474914.1021 -124155565988.864 28288.9625869138 -13254.576730752
112107694.957367 299938.853983624 10399184.5784549 -0.0873550769738835 0.0553866089767536 49597382005.4573 -127827903968.581 29118.3589912945 11317.7970077488
115657032.51067 68644.7786656891 10490011.9535961 -0.0357856534986774 0.00284039810103518 126695407111.436 -52404429686.9427 11928.5511662258 28833.2006329883
119206122.576315 72513.7286610259 10483967.6669145 0.0378487193000155 0.00381245835908405 125405757112.99 55302228353.6451 -12616.2397666718 28509.180546972
122756768.982231 309262.605424007 10581173.9869921 0.0881493641696073 0.0578661704340282 46489464858.6626 128638365285.009 -29383.1213898691 10491.2765219906
