"Least squares fit, T_{1/2} = 4.08d"
0 141.338164625218
0.15 137.78193956798
0.3 134.315193079331
0.45 130.935673779197
0.6 127.641186934722
0.75 124.429593034968
0.9 121.298806401462
1.05 118.246793833718
1.2 115.271573288831
1.35 112.371212594294
1.5 109.543828193204
1.65 106.78758392104
1.8 104.100689813217
1.95 101.481400942648
2.1 98.9280162865444
2.25 96.4388776217403
2.4 94.0123684478044
2.55 91.6469129372498
2.7 89.340974912158
2.85 87.0930568465515
3 84.9016988938679
3.15 82.7654779389044
3.3 80.683006673616
3.45 78.6529326961672
3.6 76.6739376326536
3.75 74.7447362809211
3.9 72.8640757759279
4.05 71.030734776107
4.2 69.2435226702002
4.35 67.5012788040501
4.5 65.8028717268455
4.65 64.1471984563333
4.8 62.5331837625175
4.95 60.9597794693825
5.1 59.4259637741839
5.25 57.9307405838682
5.4 56.4731388681887
5.55 55.0522120290969
5.7 53.6670372860018
5.85 52.3167150764961
6 51.0003684721605
6.15 49.7171426090682
6.3 48.4662041326172
6.45 47.246740656332
6.6 46.0579602342825
6.75 44.8990908467766
6.9 43.7693798989946
7.05 42.6680937322375
7.2 41.5945171474734
7.35 40.5479529408715
7.5 39.527721451023
7.65 38.5331601175544
7.8 37.5636230508465
7.95 36.6184806125794
8.1 35.6971190068323
8.25 34.7989398814705
8.4 33.9233599395634
8.55 33.0698105605781
8.7 32.2377374311053
8.85 31.4266001848762
9 30.6358720518372
9.15 29.8650395160534
9.3 29.1136019822208
9.45 28.3810714505688
9.6 27.6669721999424
9.75 26.9708404788588
9.9 26.2922242043372
10.05 25.630682668306
10.2 24.9857862513981
10.35 24.357116143946
10.5 23.7442640739984
10.65 23.1468320421792
10.8 22.5644320632185
10.95 21.9966859139859
11.1 21.443224887865
11.25 20.9036895553069
11.4 20.377729530409
11.55 19.8650032433667
11.7 19.3651777186508
11.85 18.877928358766
12 18.4029387334499
12.15 17.9399003741769
12.3 17.4885125738317
12.45 17.0484821914237
12.6 16.6195234617148
12.75 16.2013578096375
12.9 15.7937136693822
13.05 15.3963263080362
13.2 15.0089376536608
13.35 14.6312961276936
13.5 14.2631564815679
13.65 13.9042796374433
13.8 13.554432532943
13.95 13.2133879697982
14.1 12.8809244663007
14.25 12.5568261134679
14.4 12.2408824348266
14.55 11.9328882497255
14.7 11.6326435400858
14.85 11.3399533205059
15 11.0546275116331
